Address,Price,Apartments,Bedrooms,Area,Bathrooms,Parking Slots,Status,Delivery,Services,Date Published,Link
Calle Cerro Prieto esquina Cerro Blanco Mz. H Lt. 1 Urbanización San Ignacio de Monterrico,704361,3,3,119m² cubiertos,2,1 a 2,Pre-venta en construcción,May-21,Ascensor(es) : 1-Centros Comerciales Cercanos-Cerca a colegios-Número de pisos : 5-No. de edificios que conforman el proyecto : 1-No. departamentos por piso : 2-Cerca Hospital-Cerca a Parque (a menos de 2 cdras)-Caseta de Venta,None,https://www.adondevivir.com/propiedades/residences-vive-seguro-vive-tranquilo-vive-bien-57084776.html
Calle Cerro Prieto esquina Cerro Blanco Mz. H Lt. 1 Urbanización San Ignacio de Monterrico,1107057,3,4,153m² cubiertos,3,1 a 2,Pre-venta en construcción,May-21,Ascensor(es) : 1-Centros Comerciales Cercanos-Cerca a colegios-Número de pisos : 5-No. de edificios que conforman el proyecto : 1-No. departamentos por piso : 2-Cerca Hospital-Cerca a Parque (a menos de 2 cdras)-Caseta de Venta,None,https://www.adondevivir.com/propiedades/residences-vive-seguro-vive-tranquilo-vive-bien-57084776.html
Vemiá / Calle El Viñedo c/ El Mosto - Surco- Santiago de surco,1073800,69,3,193m² cubiertos,2, -,Venta en estreno,Inmediata,Ascensor(es) : 1-Centros Comerciales Cercanos-Cerca a colegios-Número de pisos : 5-No. de edificios que conforman el proyecto : 2-No. departamentos por piso : 2-Cerca a Parque (a menos de 2 cdras)-Gimnasio-Juegos infantiles-Sala de Computos,None,https://www.adondevivir.com/propiedades/vemia-54369873.html
Ca. República del Líbano N° 145,266665,145,1,40m² cubiertos,1, -,Pre-venta en planos,Oct-22,Ascensor(es) : 2-Piscina-Centros Comerciales Cercanos-Cerca a colegios-Número de pisos : 11-No. de edificios que conforman el proyecto : 1-Cerca a Parque (a menos de 2 cdras)-Frente a Parque-Gimnasio-Parrilla-Sala de Reuniones-Areas verdes,None,https://www.adondevivir.com/propiedades/botanika-garden-apartments-58256761.html
Ca. República del Líbano N° 145,307811,145,1,40m² cubiertos,1, -,Pre-venta en planos,Oct-22,Ascensor(es) : 2-Piscina-Centros Comerciales Cercanos-Cerca a colegios-Número de pisos : 11-No. de edificios que conforman el proyecto : 1-Cerca a Parque (a menos de 2 cdras)-Frente a Parque-Gimnasio-Parrilla-Sala de Reuniones-Areas verdes,None,https://www.adondevivir.com/propiedades/botanika-garden-apartments-58256761.html
Ca. República del Líbano N° 145,323871,145,1,42m² cubiertos,1, -,Pre-venta en planos,Oct-22,Ascensor(es) : 2-Piscina-Centros Comerciales Cercanos-Cerca a colegios-Número de pisos : 11-No. de edificios que conforman el proyecto : 1-Cerca a Parque (a menos de 2 cdras)-Frente a Parque-Gimnasio-Parrilla-Sala de Reuniones-Areas verdes,None,https://www.adondevivir.com/propiedades/botanika-garden-apartments-58256761.html
Ca. República del Líbano N° 145,289009,145,1,43m² cubiertos,1, -,Pre-venta en planos,Oct-22,Ascensor(es) : 2-Piscina-Centros Comerciales Cercanos-Cerca a colegios-Número de pisos : 11-No. de edificios que conforman el proyecto : 1-Cerca a Parque (a menos de 2 cdras)-Frente a Parque-Gimnasio-Parrilla-Sala de Reuniones-Areas verdes,None,https://www.adondevivir.com/propiedades/botanika-garden-apartments-58256761.html
Ca. República del Líbano N° 145,370405,145,1,56m² cubiertos,2, -,Pre-venta en planos,Oct-22,Ascensor(es) : 2-Piscina-Centros Comerciales Cercanos-Cerca a colegios-Número de pisos : 11-No. de edificios que conforman el proyecto : 1-Cerca a Parque (a menos de 2 cdras)-Frente a Parque-Gimnasio-Parrilla-Sala de Reuniones-Areas verdes,None,https://www.adondevivir.com/propiedades/botanika-garden-apartments-58256761.html
Ca. República del Líbano N° 145,377803,145,1,45m² cubiertos,1, -,Pre-venta en planos,Oct-22,Ascensor(es) : 2-Piscina-Centros Comerciales Cercanos-Cerca a colegios-Número de pisos : 11-No. de edificios que conforman el proyecto : 1-Cerca a Parque (a menos de 2 cdras)-Frente a Parque-Gimnasio-Parrilla-Sala de Reuniones-Areas verdes,None,https://www.adondevivir.com/propiedades/botanika-garden-apartments-58256761.html
Ca. República del Líbano N° 145,369075,145,1,44m² cubiertos,1, -,Pre-venta en planos,Oct-22,Ascensor(es) : 2-Piscina-Centros Comerciales Cercanos-Cerca a colegios-Número de pisos : 11-No. de edificios que conforman el proyecto : 1-Cerca a Parque (a menos de 2 cdras)-Frente a Parque-Gimnasio-Parrilla-Sala de Reuniones-Areas verdes,None,https://www.adondevivir.com/propiedades/botanika-garden-apartments-58256761.html
